,primary_instructor,rating,level_of_difficulty,would_take_again,total_ratings,course_title,simple_gpa,total_grade_points,total_students,weighted_gpa,course_code
0,April Hoffmeister,4.9,2.9,0.99,65.0,,,,,,
1,Bryan Buckley,3.8,2.9,0.67,94.0,,,,,,
2,Daniel Berwick Evans,4.1,3.6,0.8,15.0,Calculus II,2.964775655610162,2843.57,959.0,2.965140771637122,MATH231
3,Geoffrey Challen,3.3,3.7,0.6,173.0,Intro to Computer Science I,3.564426973747474,23865.2,6608.0,3.6115617433414045,CS124
4,Isaac DiIanni,4.4,2.6,0.83,156.0,Microeconomic Principles,3.216907048034101,15924.64,4623.0,3.4446549859398656,ECON102
5,Jared Bronski,4.5,2.8,1.0,79.0,Calculus II,2.9942081752591485,9527.32,3190.0,2.9866206896551724,MATH231
6,Jer-Chin Chuang,2.3,4.3,0.3,68.0,Linear Algebra w Computat Appl,3.2827567913053315,15058.1,4579.0,3.2885127757152217,MATH257
7,Jill Naiman,,,,,Data Visualization,3.8653359968201104,1664.71,432.0,3.8534953703703705,IS445
8,Karle Flanagan,4.9,1.9,0.97,252.0,Data Science Discovery,3.571817621507857,15598.41,4345.0,3.5899677790563866,STAT107
9,Manijeh Bahreini Esfaha,3.9,2.9,0.78,49.0,Calculus II,3.0959144284890217,11044.51,3556.0,3.1058802024746908,MATH231
10,Matthew Turk,,,,,Data Visualization,3.8903278309722307,1183.02,304.0,3.8915131578947366,IS445
11,Wade Fagen-Ulmschneider,4.6,2.6,0.92,64.0,,,,,,
