Course Number,CRN,Type,Section,Time,Days,Location,Instructor
CS 124,74477,Lecture,AL1,ARRANGED,-,-,"Challen, G"
CS 124,75242,Lecture,AL2,ARRANGED,-,-,"Challen, G"
CS 124,74481,Lab/Discussion,QBA,10:00 AM - 10:50 AM,T,4025 - Campus Instructional Facility,"Challen, G"
CS 124,74482,Lab/Discussion,QBB,10:00 AM - 10:50 AM,T,4029 - Campus Instructional Facility,"Challen, G"
CS 124,74490,Lab/Discussion,QBC,11:00 AM - 11:50 AM,T,4025 - Campus Instructional Facility,"Challen, G"
CS 124,74491,Lab/Discussion,QBD,11:00 AM - 11:50 AM,T,4029 - Campus Instructional Facility,"Challen, G"
CS 124,74492,Lab/Discussion,QBE,01:00 PM - 01:50 PM,T,4025 - Campus Instructional Facility,"Challen, G"
CS 124,74493,Lab/Discussion,QBF,01:00 PM - 01:50 PM,T,4029 - Campus Instructional Facility,"Challen, G"
CS 124,74494,Lab/Discussion,QBG,02:00 PM - 02:50 PM,T,4025 - Campus Instructional Facility,"Challen, G"
CS 124,74495,Lab/Discussion,QBH,02:00 PM - 02:50 PM,T,4029 - Campus Instructional Facility,"Challen, G"
CS 124,74496,Lab/Discussion,QBI,03:00 PM - 03:50 PM,T,4025 - Campus Instructional Facility,"Challen, G"
CS 124,74497,Lab/Discussion,QBJ,12:00 PM - 12:50 PM,T,4025 - Campus Instructional Facility,"Challen, G"
CS 124,74498,Lab/Discussion,QBK,04:00 PM - 04:50 PM,T,4025 - Campus Instructional Facility,"Challen, G"
CS 124,74499,Lab/Discussion,QBL,12:00 PM - 12:50 PM,T,4029 - Campus Instructional Facility,"Challen, G"
CS 124,74500,Lab/Discussion,QBM,05:00 PM - 05:50 PM,T,4025 - Campus Instructional Facility,"Challen, G"
CS 124,74501,Lab/Discussion,QBN,05:00 PM - 05:50 PM,T,4029 - Campus Instructional Facility,"Challen, G"
ECON 102,36253,Lecture,AL1,12:00 PM - 12:50 PM,MW,AUD - Foellinger Auditorium,"DiIanni, I"
ECON 102,49867,Discussion,AD0,08:00 AM - 08:50 AM,F,119 - David Kinley Hall,"DiIanni, I"
ECON 102,36224,Discussion,AD1,09:00 AM - 09:50 AM,F,119 - David Kinley Hall,"DiIanni, I"
ECON 102,36227,Discussion,AD2,10:00 AM - 10:50 AM,F,119 - David Kinley Hall,"DiIanni, I"
ECON 102,36231,Discussion,AD3,11:00 AM - 11:50 AM,F,119 - David Kinley Hall,"DiIanni, I"
ECON 102,36233,Discussion,AD4,12:00 PM - 12:50 PM,F,119 - David Kinley Hall,"DiIanni, I"
ECON 102,36235,Discussion,AD5,01:00 PM - 01:50 PM,F,119 - David Kinley Hall,"DiIanni, I"
ECON 102,36379,Discussion,AD6,02:00 PM - 02:50 PM,F,119 - David Kinley Hall,"DiIanni, I"
ECON 102,61250,Discussion,AD7,03:00 PM - 03:50 PM,F,119 - David Kinley Hall,"DiIanni, I"
ECON 102,61251,Discussion,AD8,04:00 PM - 04:50 PM,F,119 - David Kinley Hall,"DiIanni, I"
ECON 102,61252,Discussion,AD9,05:00 PM - 05:50 PM,F,119 - David Kinley Hall,"DiIanni, I"
ECON 102,36243,Discussion,ADA,08:00 AM - 08:50 AM,F,386 - Armory,"DiIanni, I"
ECON 102,36381,Discussion,ADB,09:00 AM - 09:50 AM,F,432 - Armory,"DiIanni, I"
ECON 102,36249,Discussion,ADC,10:00 AM - 10:50 AM,F,384 - Armory,"DiIanni, I"
ECON 102,38928,Discussion,ADD,11:00 AM - 11:50 AM,F,432 - Armory,"DiIanni, I"
