,Primary Instructor,Course Title,Subject,Number,Overall_GPA,Total_Students,A_range,B_range,C_range,D_range,F_range,YearTerm
0,"Ahlgren, Scott D",Calculus II,MATH,231,2.887669616834088,1369,36.75677998518145,30.060688756415995,21.857478078857024,7.7853990130707365,3.5396541664747883,8
1,"Ahmed, Iftikhar",Calculus II,MATH,231,2.6677272727272725,22,27.27272727272727,36.36363636363637,22.727272727272727,13.636363636363635,0.0,1
2,"Albin, Pierre",Calculus II,MATH,231,2.8577586206896552,290,31.379310344827587,34.82758620689655,27.241379310344826,4.137931034482759,2.413793103448276,1
3,"Bahreini Esfaha, Manijeh",Calculus II,MATH,231,3.0959144284890217,3556,44.01882608334123,31.247418634860658,16.43357194026585,4.411479996177774,3.8887033453544877,18
4,"Barber, Claire E",Principles of Composition,RHET,105,3.2871428571428574,21,61.904761904761905,28.57142857142857,4.761904761904762,0.0,4.761904761904762,1
5,"Baryshnikov, Yuliy",Calculus II,MATH,231,2.933581368282562,487,26.497824106871775,47.033869716290525,18.050635900549878,6.9864723543501,1.4311979219377255,2
6,"Beach, Jensen W",Principles of Composition,RHET,105,3.4236075036075033,64,62.265512265512264,29.797979797979796,4.761904761904762,0.0,3.1746031746031744,3
7,"Bechtold, Rebeccah B",Principles of Composition,RHET,105,3.2268181818181816,22,40.909090909090914,40.909090909090914,13.636363636363635,4.545454545454546,0.0,1
8,"Beder, Jesse S",Calculus II,MATH,231,2.485,22,31.818181818181817,22.727272727272727,27.27272727272727,0.0,18.181818181818183,1
9,"Bergvelt, Maarten J",Calculus II,MATH,231,2.8127363184079597,201,36.81592039800995,27.860696517412936,21.890547263681594,7.960199004975125,5.472636815920398,1
10,"Berwick Evans, Daniel",Calculus II,MATH,231,2.964775655610162,959,33.33836093512053,36.192037776723595,27.458017436259553,2.0726782872517786,0.9389055646445448,4
11,"Besser, Stephanie A",Data Visualization,IS,445,3.863548387096774,73,88.86328725038402,9.946236559139784,1.1904761904761905,0.0,0.0,2
12,"Borst, Allan G",Principles of Composition,RHET,105,3.246190476190476,42,52.38095238095238,33.33333333333333,7.142857142857142,2.380952380952381,4.761904761904762,2
13,"Boynton, Tom",Principles of Composition,RHET,105,3.348279220779221,85,50.54112554112554,42.42424242424242,3.4632034632034636,0.0,3.571428571428571,4
14,"Brabant, Stephanie M",Principles of Composition,RHET,105,2.9625,44,45.45454545454545,34.09090909090909,6.818181818181818,2.272727272727273,11.363636363636363,2
15,"Bradlow, Steven B",Calculus II,MATH,231,2.4864220183486236,218,24.770642201834864,27.981651376146786,29.357798165137616,8.715596330275229,9.174311926605505,1
16,"Brannan, Michael P",Calculus II,MATH,231,2.5645901639344264,183,14.207650273224044,42.62295081967213,30.05464480874317,10.92896174863388,2.185792349726776,1
17,"Bronski, Jared C",Calculus II,MATH,231,2.9942081752591485,3190,35.931318486274094,38.08926185216871,19.56421893856991,4.579070352692896,1.8361303702943927,13
18,"Burchfield, Dana M",Principles of Composition,RHET,105,3.3795454545454544,22,54.54545454545454,36.36363636363637,9.090909090909092,0.0,0.0,1
19,"Burner, Justin",Calculus II,MATH,231,2.6660869565217395,23,26.08695652173913,34.78260869565217,17.391304347826086,17.391304347826086,4.3478260869565215,1
20,"Carpenter, Bruce",Calculus II,MATH,231,2.488318667072014,229,23.041813658446518,36.52798142047635,21.489930751594038,6.643428972029378,12.296845197453717,7
